省份,年份,CO2排放总量_万吨
Anhui,1997,24044.17
Anhui,1998,23407.78
Anhui,1999,23854.8
Anhui,2000,25559.25
Anhui,2001,27257.8
Anhui,2002,28149.09
Anhui,2003,31693.87
Anhui,2004,34351.71
Anhui,2005,36919.4
Anhui,2006,40435.71
Anhui,2007,42291.05
Anhui,2008,49558.71
Anhui,2009,56242.7
Anhui,2010,59826.33
Anhui,2011,66303.63
Anhui,2012,74510.46
Anhui,2013,80985.56
Anhui,2014,84950.13
Anhui,2015,83021.26
Anhui,2016,79890.55
Anhui,2017,83966.08
Anhui,2018,83309.07
Anhui,2019,85144.94
Anhui,2020,86798.25
Anhui,2021,89681.85
Anhui,2022,83984.0
Beijing,1997,14504.8
Beijing,1998,14287.36
Beijing,1999,14740.39
Beijing,2000,15509.09
Beijing,2001,15130.19
Beijing,2002,15828.89
Beijing,2003,16666.94
Beijing,2004,18670.19
Beijing,2005,23705.2
Beijing,2006,19660.19
Beijing,2007,19977.1
Beijing,2008,23307.98
Beijing,2009,24258.62
Beijing,2010,24523.89
Beijing,2011,24009.88
Beijing,2012,24588.66
Beijing,2013,22238.46
Beijing,2014,23541.68
Beijing,2015,23010.96
Beijing,2016,21164.03
Beijing,2017,20404.81
Beijing,2018,21322.32
Beijing,2019,21357.79
Beijing,2020,19868.64
Beijing,2021,19977.31
Beijing,2022,20317.77
Chongqing,1997,11989.47
Chongqing,1998,11509.32
Chongqing,1999,12701.02
Chongqing,2000,12838.7
Chongqing,2001,11864.83
Chongqing,2002,12173.31
Chongqing,2003,11531.29
Chongqing,2004,13541.23
Chongqing,2005,15431.87
Chongqing,2006,17688.46
Chongqing,2007,19258.2
Chongqing,2008,25032.66
Chongqing,2009,28352.58
Chongqing,2010,29644.48
Chongqing,2011,32216.88
Chongqing,2012,31820.88
Chongqing,2013,28962.23
Chongqing,2014,30250.5
Chongqing,2015,30492.92
Chongqing,2016,31153.58
Chongqing,2017,28480.81
Chongqing,2018,27684.94
Chongqing,2019,28064.96
Chongqing,2020,27864.08
Chongqing,2021,28466.36
Chongqing,2022,28982.39
Fujian,1997,9454.76
Fujian,1998,9733.36
Fujian,1999,10762.91
Fujian,2000,11908.13
Fujian,2001,12097.65
Fujian,2002,13771.09
Fujian,2003,16471.28
Fujian,2004,18559.66
Fujian,2005,22203.01
Fujian,2006,24748.19
Fujian,2007,26758.0
Fujian,2008,29147.08
Fujian,2009,35517.04
Fujian,2010,40888.78
Fujian,2011,46838.27
Fujian,2012,47265.11
Fujian,2013,46086.18
Fujian,2014,55067.09
Fujian,2015,54868.81
Fujian,2016,51705.67
Fujian,2017,54591.1
Fujian,2018,59019.64
Fujian,2019,64694.34
Fujian,2020,65467.23
Fujian,2021,73384.89
Fujian,2022,68937.47
Gansu,1997,15515.35
Gansu,1998,16100.92
Gansu,1999,15967.13
Gansu,2000,17017.03
Gansu,2001,17552.12
Gansu,2002,19074.17
Gansu,2003,21631.85
Gansu,2004,24028.13
Gansu,2005,25207.54
Gansu,2006,26704.01
Gansu,2007,28536.15
Gansu,2008,30252.15
Gansu,2009,29976.56
Gansu,2010,33937.32
Gansu,2011,39710.47
Gansu,2012,40623.73
Gansu,2013,42278.62
