省份,年份,GDP_亿元,常住人口_万人,第一产业增加值_亿元,第二产业增加值_亿元,第三产业增加值_亿元
上海,2016,30963.9,2467,114.3,8570.2,22279.3
上海,2017,34378.3,2466,110.8,9525.9,24741.6
上海,2018,37769.1,2475,104.8,10360.8,27303.5
上海,2019,40241.2,2481,107.1,10317.1,29817.1
上海,2020,41603.9,2488,107.7,10356.7,31139.5
上海,2021,47059.4,2489,96.0,11425.4,35538.0
上海,2022,48594.5,2475,100.0,11386.4,37108.1
上海,2023,51404.5,2487,100.7,11542.9,39760.9
上海,2024,53926.7,2480,99.7,11637.6,42189.4
上海,2025,,,,,
云南,2016,16773.6,4677,2225.5,5747.4,8800.7
云南,2017,18864.6,4693,2338.4,6317.8,10208.5
云南,2018,21427.5,4703,2498.7,7267.5,11661.3
云南,2019,23902.1,4714,3037.7,8152.1,12712.3
云南,2020,25214.5,4722,3611.8,8427.8,13175.0
云南,2021,27895.3,4690,3832.3,9535.2,14527.8
云南,2022,29301.1,4693,4001.9,9985.8,15313.4
云南,2023,30595.8,4673,4191.4,10021.4,16383.0
云南,2024,31534.1,4655,4192.9,10330.0,17011.1
云南,2025,,,,,
内蒙古,2016,13879.0,2436,1650.6,5579.8,6648.7
内蒙古,2017,15009.9,2433,1649.8,5874.2,7485.9
内蒙古,2018,16252.9,2422,1750.7,6335.4,8166.8
内蒙古,2019,17479.4,2415,1863.3,6774.0,8842.2
内蒙古,2020,17623.4,2403,2028.8,6789.7,8804.9
内蒙古,2021,21584.8,2400,2354.6,9646.5,9583.6
内蒙古,2022,23795.7,2401,2655.1,10916.8,10223.9
内蒙古,2023,25020.5,2396,2644.2,11130.4,11245.8
内蒙古,2024,26314.6,2388,2872.6,11604.4,11837.6
内蒙古,2025,,,,,
北京,2016,28438.7,2195,129.8,4665.8,23643.2
北京,2017,31325.9,2194,121.9,5049.4,26154.6
北京,2018,35161.4,2192,120.6,5477.4,29563.5
北京,2019,37767.0,2190,114.4,5812.9,31839.7
北京,2020,38503.6,2189,108.3,5899.8,32495.5
北京,2021,44350.7,2189,111.4,7732.2,36507.1
北京,2022,45222.4,2184,111.5,6960.4,38150.6
北京,2023,47353.7,2186,115.1,6893.8,40344.8
北京,2024,49843.1,2183,116.4,7226.8,42499.9
北京,2025,,,,,
吉林,2016,10603.5,2567,1130.1,3901.4,5572.1
吉林,2017,11083.0,2526,1095.4,3995.5,5992.1
吉林,2018,11437.4,2484,1160.7,4051.5,6225.1
吉林,2019,11949.4,2448,1287.3,4162.0,6500.1
吉林,2020,12499.5,2399,1553.0,4337.3,6609.1
吉林,2021,13431.1,2375,1554.0,4713.7,7163.4
吉林,2022,13121.4,2348,1689.1,4274.9,7157.4
吉林,2023,13942.7,2339,1644.9,4426.9,7871.0
吉林,2024,14361.2,2317,1589.8,4577.6,8193.8
吉林,2025,,,,,
四川,2016,33879.2,8251,3900.6,13450.1,16528.5
四川,2017,38517.1,8289,4262.5,14569.2,19685.4
四川,2018,43539.0,8321,4427.4,16056.9,23054.7
四川,2019,47168.6,8351,4807.5,17202.7,25158.5
四川,2020,49445.1,8371,5556.9,17594.8,26293.4
四川,2021,55131.3,8372,5662.8,20016.5,29452.0
四川,2022,57609.4,8374,5965.5,20314.0,31330.0
四川,2023,61353.4,8368,5455.6,21879.1,34018.7
四川,2024,64697.0,8364,5619.9,22816.9,36260.2
四川,2025,,,,,
天津,2016,11487.0,1443,168.5,4368.0,6950.6
天津,2017,12468.2,1410,169.0,4564.1,7735.2
天津,2018,13411.1,1383,175.3,4835.3,8400.5
天津,2019,14097.2,1385,185.4,5016.9,8894.9
天津,2020,14230.8,1387,210.3,4966.6,9053.8
天津,2021,16093.2,1373,265.9,5780.5,10046.8
天津,2022,16588.5,1363,273.2,6092.7,10222.7
天津,2023,17211.8,1364,270.5,6080.6,10860.8
天津,2024,18024.3,1364,284.3,6214.3,11525.8
天津,2025,,,,,
宁夏,2016,2853.3,695,241.0,1179.7,1432.6
宁夏,2017,3271.6,705,250.6,1406.0,1615.0
宁夏,2018,3580.6,710,279.4,1488.1,1813.1
宁夏,2019,3841.5,717,280.0,1588.0,1973.6
宁夏,2020,4036.2,721,338.1,1604.8,2093.3
宁夏,2021,4666.5,725,364.6,2036.6,2265.3
宁夏,2022,5168.1,728,407.5,2318.6,2441.9
宁夏,2023,5368.8,729,428.0,2329.0,2611.7
宁夏,2024,5502.8,729,451.2,2335.4,2716.2
宁夏,2025,,,,,
安徽,2016,26801.2,6033,2489.8,11517.5,12793.9
安徽,2017,30141.8,6057,2582.3,12681.2,14878.3
安徽,2018,34377.3,6076,2638.0,14094.4,17644.9
安徽,2019,37584.8,6092,2915.9,14895.9,19773.0
安徽,2020,38628.8,6105,3184.9,15286.7,20157.2
安徽,2021,43102.8,6113,3363.9,16925.5,22813.5
安徽,2022,45525.1,6127,3516.5,17697.0,24311.6
安徽,2023,48227.5,6121,3494.8,18734.9,25997.8
安徽,2024,50625.2,6123,3565.6,19607.5,27452.1
安徽,2025,,,,,
山东,2016,59702.6,9973,4830.2,25565.0,29307.3
山东,2017,63958.6,10033,4832.7,26925.6,32200.3
山东,2018,67864.4,10077,4950.5,27523.7,35390.2
山东,2019,72024.3,10106,5116.9,28464.9,38442.5
山东,2020,74355.9,10165,5364.4,29008.0,39983.5
山东,2021,84838.0,10170,6026.9,34084.0,44727.1
山东,2022,89519.4,10163,6296.2,36037.2,47186.0
山东,2023,94206.4,10123,6500.6,38055.9,49649.9
山东,2024,98565.8,10080,6616.9,39608.6,52340.3
山东,2025,,,,,
山西,2016,12160.1,3514,724.3,5113.6,6322.2
