省份,年份,常住人口_万人,城镇人口_万人,乡村人口_万人,城镇化率
北京市,2024,2183,1926,257,88.23
天津市,2024,1364,1173,191,86.0
河北省,2024,7378,4679,2699,63.42
山西省,2024,3446,2285,1161,66.31
内蒙古自治区,2024,2388,1689,699,70.73
辽宁省,2024,4155,3082,1073,74.18
吉林省,2024,2317,1524,793,65.77
黑龙江省,2024,3029,2061,968,68.04
上海市,2024,2480,2228,252,89.84
江苏省,2024,8526,6440,2086,75.53
浙江省,2024,6670,5033,1637,75.46
安徽省,2024,6123,3831,2292,62.57
福建省,2024,4193,3011,1182,71.81
江西省,2024,4502,2871,1631,63.77
山东省,2024,10080,6701,3379,66.48
河南省,2024,9785,5795,3990,59.22
湖北省,2024,5834,3871,1963,66.35
湖南省,2024,6539,4059,2480,62.07
广东省,2024,12780,9701,3079,75.91
广西壮族自治区,2024,5013,2877,2136,57.39
海南省,2024,1048,661,387,63.07
重庆市,2024,3190,2301,889,72.13
四川省,2024,8364,5027,3337,60.1
贵州省,2024,3860,2187,1673,56.66
云南省,2024,4655,2519,2136,54.11
西藏自治区,2024,370,147,223,39.73
陕西省,2024,3953,2615,1338,66.15
甘肃省,2024,2458,1397,1061,56.83
青海省,2024,593,379,214,63.91
宁夏回族自治区,2024,729,497,232,68.18
新疆维吾尔自治区,2024,2623,1583,1040,60.35
北京市,2023,2186,1920,266,87.83
天津市,2023,1364,1166,198,85.48
河北省,2023,7393,4641,2752,62.78
山西省,2023,3466,2252,1214,64.97
内蒙古自治区,2023,2396,1667,729,69.57
辽宁省,2023,4182,3074,1108,73.51
吉林省,2023,2339,1514,825,64.73
黑龙江省,2023,3062,2055,1007,67.11
上海市,2023,2487,2225,262,89.47
江苏省,2023,8526,6398,2128,75.04
浙江省,2023,6627,4919,1708,74.23
安徽省,2023,6121,3765,2356,61.51
福建省,2023,4183,2972,1211,71.05
江西省,2023,4515,2850,1665,63.12
山东省,2023,10123,6634,3489,65.53
河南省,2023,9815,5701,4114,58.08
湖北省,2023,5838,3822,2016,65.47
湖南省,2023,6568,4017,2551,61.16
广东省,2023,12706,9583,3123,75.42
广西壮族自治区,2023,5027,2854,2173,56.77
海南省,2023,1043,651,392,62.42
重庆市,2023,3191,2287,904,71.67
四川省,2023,8368,4978,3390,59.49
贵州省,2023,3865,2162,1703,55.94
云南省,2023,4673,2473,2200,52.92
西藏自治区,2023,365,142,223,38.9
陕西省,2023,3952,2575,1377,65.16
甘肃省,2023,2465,1368,1097,55.5
