省份,年份,GDP_亿元,人均GDP_万元,常住人口_万人,城镇化率,第一产业增加值_亿元,第二产业增加值_亿元,第三产业增加值_亿元,第三产业占比,CO2排放总量_万吨,人均CO2_吨
上海,2018,37769.1,15.26,2475.0,89.13,104.8,10360.8,27303.5,72.29,40477.4,163.545
上海,2019,40241.2,16.22,2481.0,89.24,107.1,10317.1,29817.1,74.1,42970.18,173.197
上海,2020,41603.9,16.722,2488.0,89.31,107.7,10356.7,31139.5,74.85,41488.15,166.753
上海,2021,47059.4,18.907,2489.0,89.31,96.0,11425.4,35538.0,75.52,42215.34,169.608
上海,2022,48594.5,19.634,2475.0,89.33,100.0,11386.4,37108.1,76.36,58776.15,237.479
云南,2018,21427.5,4.556,4703.0,47.44,2498.7,7267.5,11661.3,54.42,45771.13,97.323
云南,2019,23902.1,5.07,4714.0,48.66,3037.7,8152.1,12712.3,53.18,39398.63,83.578
云南,2020,25214.5,5.34,4722.0,50.04,3611.8,8427.8,13175.0,52.25,46417.65,98.301
云南,2021,27895.3,5.948,4690.0,51.04,3832.3,9535.2,14527.8,52.08,45989.41,98.058
云南,2022,29301.1,6.244,4693.0,51.72,4001.9,9985.8,15313.4,52.26,45084.17,96.067
内蒙古,2018,16252.9,6.711,2422.0,65.52,1750.7,6335.4,8166.8,50.25,183701.53,758.47
内蒙古,2019,17479.4,7.238,2415.0,66.46,1863.3,6774.0,8842.2,50.59,208368.52,862.81
内蒙古,2020,17623.4,7.334,2403.0,67.5,2028.8,6789.7,8804.9,49.96,224789.26,935.453
内蒙古,2021,21584.8,8.994,2400.0,68.21,2354.6,9646.5,9583.6,44.4,223374.82,930.728
内蒙古,2022,23795.7,9.911,2401.0,68.6,2655.1,10916.8,10223.9,42.97,228238.31,950.597
北京,2018,35161.4,16.041,2192.0,87.09,120.6,5477.4,29563.5,84.08,21322.32,97.273
北京,2019,37767.0,17.245,2190.0,87.35,114.4,5812.9,31839.7,84.31,21357.79,97.524
北京,2020,38503.6,17.59,2189.0,87.53,108.3,5899.8,32495.5,84.4,19868.64,90.766
北京,2021,44350.7,20.261,2189.0,87.53,111.4,7732.2,36507.1,82.31,19977.31,91.262
北京,2022,45222.4,20.706,2184.0,87.59,111.5,6960.4,38150.6,84.36,20317.77,93.03
吉林,2018,11437.4,4.604,2484.0,60.87,1160.7,4051.5,6225.1,54.43,42439.33,170.851
吉林,2019,11949.4,4.881,2448.0,61.64,1287.3,4162.0,6500.1,54.4,43557.88,177.933
吉林,2020,12499.5,5.21,2399.0,62.65,1553.0,4337.3,6609.1,52.87,40775.2,169.967
吉林,2021,13431.1,5.655,2375.0,63.37,1554.0,4713.7,7163.4,53.33,41715.53,175.644
吉林,2022,13121.4,5.588,2348.0,63.71,1689.1,4274.9,7157.4,54.55,40982.46,174.542
四川,2018,43539.0,5.232,8321.0,53.5,4427.4,16056.9,23054.7,52.95,59211.68,71.159
四川,2019,47168.6,5.648,8351.0,55.36,4807.5,17202.7,25158.5,53.34,65095.38,77.949
四川,2020,49445.1,5.907,8371.0,56.73,5556.9,17594.8,26293.4,53.18,63120.84,75.404
四川,2021,55131.3,6.585,8372.0,57.82,5662.8,20016.5,29452.0,53.42,64504.8,77.048
四川,2022,57609.4,6.88,8374.0,58.35,5965.5,20314.0,31330.0,54.38,62873.78,75.082
天津,2018,13411.1,9.697,1383.0,83.95,175.3,4835.3,8400.5,62.64,35554.85,257.085
天津,2019,14097.2,10.178,1385.0,84.33,185.4,5016.9,8894.9,63.1,35618.5,257.173
天津,2020,14230.8,10.26,1387.0,84.72,210.3,4966.6,9053.8,63.62,33150.99,239.012
天津,2021,16093.2,11.721,1373.0,84.85,265.9,5780.5,10046.8,62.43,36753.56,267.688
天津,2022,16588.5,12.171,1363.0,85.11,273.2,6092.7,10222.7,61.63,36050.49,264.494
宁夏,2018,3580.6,5.043,710.0,62.11,279.4,1488.1,1813.1,50.64,53388.2,751.946
宁夏,2019,3841.5,5.358,717.0,63.6,280.0,1588.0,1973.6,51.38,56779.15,791.899
宁夏,2020,4036.2,5.598,721.0,64.91,338.1,1604.8,2093.3,51.86,59125.09,820.043
宁夏,2021,4666.5,6.437,725.0,66.07,364.6,2036.6,2265.3,48.54,63610.04,877.38
宁夏,2022,5168.1,7.099,728.0,66.35,407.5,2318.6,2441.9,47.25,67546.63,927.838
安徽,2018,34377.3,5.658,6076.0,55.65,2638.0,14094.4,17644.9,51.33,83309.07,137.112
安徽,2019,37584.8,6.17,6092.0,57.03,2915.9,14895.9,19773.0,52.61,85144.94,139.765
安徽,2020,38628.8,6.327,6105.0,58.33,3184.9,15286.7,20157.2,52.18,86798.25,142.176
安徽,2021,43102.8,7.051,6113.0,59.4,3363.9,16925.5,22813.5,52.93,89681.85,146.707
安徽,2022,45525.1,7.43,6127.0,60.16,3516.5,17697.0,24311.6,53.4,83984.0,137.072
山东,2018,67864.4,6.735,10077.0,61.46,4950.5,27523.7,35390.2,52.15,291373.02,289.147
山东,2019,72024.3,7.127,10106.0,61.86,5116.9,28464.9,38442.5,53.37,300024.19,296.877
山东,2020,74355.9,7.315,10165.0,63.05,5364.4,29008.0,39983.5,53.77,309012.36,303.996
山东,2021,84838.0,8.342,10170.0,63.94,6026.9,34084.0,44727.1,52.72,308987.84,303.823
山东,2022,89519.4,8.808,10163.0,64.54,6296.2,36037.2,47186.0,52.71,292596.81,287.904
山西,2018,16153.1,4.613,3502.0,59.85,740.8,7074.5,8337.9,51.62,335310.52,957.483
山西,2019,17311.0,4.95,3497.0,61.28,825.3,7402.9,9082.7,52.47,346600.5,991.137
山西,2020,18202.7,5.216,3490.0,62.52,1166.6,7440.2,9595.9,52.72,391610.93,1122.094
山西,2021,23087.8,6.634,3480.0,63.42,1286.7,10892.5,10908.6,47.25,426537.49,1225.682
